IDENTIFICADOR,GRUPO,DISPOSITIVO,TIPO,OBJETIVO2,Tipo_bloqueo,NOMBRE NETWITNESS,RESPONSABLE,Monitoreo,status2,Fecha alta/ajuste,Fecha puesta en produccion,MITRE ATT&CK,D3FEND_EXCLUIDO,D3FEND_INFERIDO,Severidad,Escalamiento,ENVIO.HO,FUENTES,Fecha ultima validacion,Habilitado,Motivo deshabilitacion,Comentarios,Regla completa,Descripcion funcional
CU112_Suspicious_Regsvr32_Execution,AD,WINDOWS,P.Interna,"Detecta cuando se utiliza la herramienta de Windows regsvr32.exe con una posible DLL maliciosa enmascarada como archivo de imagen (jpg,png,etc), archivo .dat o algún otro archivo con extensión sospechosa, por ejemplo .tmp.",,CU112_Suspicious_Regsvr32_Execution,NOVA,process like '%regsvr32.exe%',Producción,,2024-09-30,T1218 - System Binary Proxy Execution,,,Critical,IRT,,,,Si,,,"module Suspicious_Regsvr32_Execution;

@Name('CU112_Suspicious_Regsvr32_Execution_Alert')
@RSAAlert(oneInSeconds=3600, identifiers={""event_computer"",""param""})
SELECT * FROM Event(
	device_type.toLowerCase() = 'winevent_nic'
	AND
	reference_id = '4688'
	AND
	process.toLowerCase() LIKE '%regsvr32.exe%'
	AND (
		matchLike(param,'%.jpg%')
		OR
		matchLike(param,'%.jpeg%')
		OR
		matchLike(param,'%.gif%')
		OR
		matchLike(param,'%.png%')
		OR
		matchLike(param,'%.ico%')
		OR
		matchLike(param,'%.bmp%')
		OR
		matchLike(param,'%.tif%')
		OR
		matchLike(param,'%.tiff%')
		OR
		matchLike(param,'%.eps%')
		OR
		matchLike(param,'%.raw%')
		OR
		matchLike(param,'%.cr2%')
		OR
		matchLike(param,'%.nef%')
		OR
		matchLike(param,'%.orf%')
		OR
		matchLike(param,'%.sr2%')
		OR
		matchLike(param,'%.dat%')
		OR
		matchLike(param,'%.tmp%')
	)
);","Detecta cuando se utiliza la herramienta de Windows regsvr32.exe con una posible DLL maliciosa enmascarada como archivo de imagen (jpg,png,etc), archivo .dat o algún otro archivo con extensión sospechosa, por ejemplo .tmp."
CU116_CITRIX_Massive_Brute_Force,CITRIX_ADC,CITRIX-NETSCALER,P.Perimetral,"Detectar ataques masivos de Brute Force sobre CITRIX, con el objetivo de evitar denegaciones de servicio.",,CU116_CITRIX_Massive_Brute_Force,ICBC,"Actor de interes user_dst, umbral 100 eventos en 5 minutos",Producción,,2024-01-02,T1110 - Brute Force,,,Critical,L2,,,,Si,,,"module CU116_CITRIX_Massive_Brute_Force;

@Name('[AUT][Public IP]CU116_CITRIX_Massive_Brute_Forcet')
@Description('xxx')
@RSAAlert(oneInSeconds=0)

SELECT * FROM Event(
        /* Login Failed */
        (
        (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
        AND
        device_type.toLowerCase() IN ( 'citrixns' )
        AND

        ec_theme.toLowerCase() IN ( 'authentication' )
        AND ec_outcome.toLowerCase() IN ( 'failure' )
        AND user_dst IS NOT NULL
        )

    )

.std:groupwin(device_type)
.win:time_length_batch(5 Minutes, 100)
GROUP BY device_type
HAVING COUNT(distinct country_src) >= 100;",
CU117_CITRIX_Single_Origin_Brute_Force,CITRIX_ADC,CITRIX-NETSCALER,P.Perimetral,Detectar ataques de fuerza bruta provenientes de un unico origen,,CU117_CITRIX_Single_Origin_Brute_Force,ICBC,"actor de interes ip_src, umbral 20 eventos en 5 minutos",Producción,2024-01-05,2025-01-21,T1110 - Brute Force,,,Medium,IRT,,citrixns,,Si,,,"module CU117_CITRIX_Single_Origin_Brute_Force;

@Name('[AUT][Public IP]CU117_CITRIX_Single_Origin_Brute_Force')

@RSAAlert(oneInSeconds=600, identifiers={ ""ip_src""})

SELECT * FROM Event(
        /* Login Failed */
        (
        (ip_src_type IS NULL OR ip_src_type.toLowerCase() NOT IN ('ip whitelist', 'whitelist', 'ip private'))
        AND
        device_type.toLowerCase() IN ( 'citrixns' )
        AND

        ec_theme.toLowerCase() IN ( 'authentication' )
        AND ec_outcome.toLowerCase() IN ( 'failure' )
        AND user_dst IS NOT NULL
        )

    )

.std:groupwin(ip_src)
.win:time_length_batch(5 Minutes, 20)
GROUP BY ip_src
HAVING COUNT(*) >= 20;","action: global
title: 'CU117_CITRIX_Single_Origin_Brute_Force '

status: Producción

description: 'Detectar ataques de fuerza bruta provenientes de un unico origen'
author: SOC-ICBC

Last_Update:"
CU119_AD_Modify_critics_groups,AD,WINDOWS,P.Interna,"Detectar si se agregan usuarios a grupos especificos de AD, con la intención de monitorear la inclusión de usuarios a grupos de seguridad",,CU119_AD_Modify_critics_groups,ICBC,"Actor de interes user_dst, umbral 1 evento",Producción,,2025-02-21,T1098 - Account Manipulation,,,Critical,L2,,winevent_nic,,Si,,,"module CUX119_Modify_critics_groups;

@Name('CU119_Modify_critics_groups_Alert')
@RSAAlert(oneInSeconds=0)

SELECT * FROM Event(
    device_type.toLowerCase() = 'winevent_nic'
    AND
    reference_id IN ('4728', '4732','4756')
    AND
    (user_dst.toLowerCase() NOT IN ( 'iam_ou_prod' ))
    AND
    isOneOfIgnoreCase(`group`, {'Domain Admins', 'Administrators Servers', 'Administrators Branches', 'Enterprise Admins', 'account operators' })
)","action: global
title: 'Modify_critics_groups''
id: de3279eb-6b12-4c1c-a657-da483ce9890c
status: testing 
description:  'Detectar si se agregan usuarios a grupos especificos de AD, con la intención de monitorear la inclusión de usuarios a grupos de seguridad'
author: SOC-ICBC
date: 21/05/2025"
CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit,AD,WINDOWS,P.Interna,"detectar el CVE-2024-49113, identificada en Diciembre de 2024 y actualizada en Enero del presente año, permite a un atacante remoto no autenticado provocar una condición de denegación de servicio (DoS) al enviar solicitudes LDAP especialmente diseñadas, lo que puede resultar en la caída del servicio LDAP, afectando la autenticación y autorización dentro de la red, y causando interrupciones significativas en las operaciones",,CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit,NOVA,,Producción,,2025-04-14,"T1499 - Endpoint Denial of Service, T1548.002 - Bypass User Account Control",,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis,Critical,IRT,,winevent_nic,,Si,,,"module Module_6793b58fe4b071aba0d1d3ef;  
@Name('[CU121_CVE-2024-49113 Posible LDAP Nightmare Exploit')
@Description('tags:
- attack.impact
- attack.t1499
- cve.2024-49113
- detection.emerging-threats
logsource:
product: windows
service: application
# warning: The &quot;data&quot; field used in the detection section is the container for the event data as a whole. You may have to adapt the rule for your backend accordingly
detection:
selection:
Provider_Name: &quot;Application Error&quot;
EventID: 1000
Data|contains|all:
    - &quot;lsass.exe&quot;
    - &quot;WLDAP32.dll&quot;')
@RSAAlert(oneInSeconds=60,identifiers={""event_computer""})

SELECT * FROM Event(
    /* Statement: windows */
    (device_type.toLowerCase() IN ( 'winevent_nic' ) AND reference_id IN ( '1000' ) AND event_source.toLowerCase() IN ( 'application error' ) AND event_desc.toLowerCase() LIKE '%lsass.exe%' AND event_desc.toLowerCase() LIKE '%wldap32.dll%')
)
;",
CU122_AD_User_Creation_Outside_IDM,AD,WINDOWS,P.Perimetral,"Detectar la creación de un usuario de dominio realizada por un administrador que no pertenezca al grupo administradores de accesos, excluyendo los usuarios de las workstations y administrador “iam_ou_prod”.",Manual,CU122_AD_User_Creation_Outside_IDM,ICBC,"Actores de interes reference.id '4720', user.dst =! 'iam_ou_prod'",Producción,,2025-03-18,T1136 - Create Account,,,High,L2,,winevent_nic,,Si,,,"@Name('Alerta - AD - Creación de Usuarios por fuera de IDM')
@RSAAlert(oneInSeconds=600, identifiers={""user_src""})

SELECT * FROM Event(
	device_type.toLowerCase() = 'winevent_nic'
	AND reference_id = '4720'
	AND ec_outcome.toLowerCase() = 'success' 
	AND user_dst.toLowerCase() != 'iam_ou_prod'
	AND user_src.toLowerCase() NOT LIKE '%$'
	AND user_dst.toLowerCase() NOT LIKE '%$'
	AND ((user_group IS NOT NULL
		AND 
		user_group.toLowerCase() !=  'role - information security operations – infrastructure')
		OR
		(user_group IS NULL))
	AND event_computer.toLowerCase() LIKE 'arpads%');","alertar la creación de un usuario de dominio realizada por un administrador que no pertenezca al grupo administradores de accesos, excluyendo los usuarios de las workstations y administrador “iam_ou_prod”."
CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM,AD,WINDOWS,P.Interna,"alertar la asignación a un grupo (excluyendo el grupo “gnavegacionsegura”) realizada por un usuario que no pertenezca al grupo administradores de accesos, excluyendo los usuarios de las workstations.",Manual,CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM,ICBC,"Actores de interes reference '4728', '4732', user.src , group",Producción,,2025-03-18,"T1068 - Exploitation for Privilege Escalation, T1098 - Account Manipulation",,D3-MBT - Memory Boundary Tracking; D3-OSM - Operating System Monitoring; D3-PCSV - Process Code Segment Verification; D3-PM - Platform Monitoring; D3-SSC - Shadow Stack Comparisons,High,L2,,winevent_nic,,Si,,,"module CU123AD_Object_Assignment_to_Groups_Outside_IDM;

@RSAPersist
create window UserCritic_123.win:time(12 hours) (eDate string, eDevice string, 
eMessage string, eAccount string, eDstHost string, eObjType string, 
eSrcUser string, eLogID string, eTime long);




@Name('LLenar la ventana de memoria UserCritic_123')
/* @Audit */
insert into UserCritic_123
	SELECT 	event_time_str as eDate, 
			device_type as eDevice,
			ec_activity as eMessage,
			pbps_macc as eAccount,
			CASE WHEN pbps_asset IS NULL THEN NULL ELSE pbps_asset END AS eDstHost,
			user_src as eSrcUser,
            time as eTime

 
FROM
    Event (
        medium = 32
        AND device_type.toLowerCase() = 'pbps'
        AND ec_activity.toLowerCase() = 'retrieve'
        AND obj_type IS NOT NULL
        AND log_session_id IS NOT NULL
        AND event_time_str IS NOT NULL	
    );




@Name('[CU123_AD_Object(group/user)_Assignment_to_Groups_Outside_IDM_alert')

@RSAAlert(oneInSeconds=600, identifiers={""user_src"",""`group`""})

SELECT * FROM Event(
	device_type.toLowerCase() = 'winevent_nic'
	AND reference_id IN ('4728','4732')
	AND ec_outcome.toLowerCase() = 'success'
	AND user_dst.toLowerCase() != 'iam_ou_prod'
	AND user_src.toLowerCase() NOT LIKE '%$'
	AND user_dst.toLowerCase() NOT LIKE '%$'
	AND user_src.toLowerCase() NOT LIKE '%laptop%'
	AND user_src.toLowerCase() NOT LIKE '%desktop%'
	AND user_src.toLowerCase() NOT LIKE '%cn=computers,dc=ardp,dc=local%'
        AND user_src.toLowerCase() NOT LIKE '%ou=servers%'
         AND (user_account IS NULL 
                  OR 
                  (user_account.toLowerCase() NOT LIKE '%server%'
                   AND 
                   user_account.toLowerCase() NOT LIKE '%computers%'))
	AND ((user_group IS NOT NULL
		AND
		user_group.toLowerCase() != 'role - information security operations – infrastructure')
		OR
		(user_group IS NULL))
	AND ((`group` IS NOT NULL
		AND
		isNotOneOfIgnoreCase(`group`,{'gnavegacionsegura'}))
		OR
		(`group` IS NULL))

	AND NOT EXISTS(select * from UserCritic_123
		where

		Event.user_dst.toLowerCase() = UserCritic_123.eAccount));","migración de controles.

Este control consiste en alertar la asignación a un grupo (excluyendo el grupo “gnavegacionsegura”) realizada por un usuario que no pertenezca al grupo administradores de accesos, excluyendo los usuarios de las workstations."
CU124_DC_SuspiciousActivity_EDR,ENDPOINTS,EDR,P.Interna,Detectar actividad anómale mediante EDR en los DC,,CU124_DC_SuspiciousActivity_EDR,ICBC,"Actores de interes device.host 'arpads', event.state 'new'",Producción,,2025-03-31,T1587.001 - Malware,,,Critical,L2,,trellix_edr,,Si,,,"module CU124_DC_SuspiciousActivity_EDR;
@Name('CU124_DC_SuspiciousActivity_EDR_Alert')
@Description('Detecta alertas de EDR en DC sin tener en cuenta severidad')
@RSAAlert(oneInSeconds=300, identifiers={ ""device_host""})
SELECT * FROM Event(
    device_type.toLowerCase() IN ('trellix_edr') 
    AND 
     device_host.toLowerCase() LIKE 'arpads%'
    AND
    event_state.toLowerCase() IN ( 'new' )
    AND
    isNotOneOfIgnoreCase(severity,{ 's1' })

);",
CU125_WinRegistry_UACPolicy_Access,AD,WINDOWS,P.Interna,"Detectar el uso de cmd.exe para ejecutar reg.exe con acceso a la clave de políticas del sistema (HKLM\\...\\Policies\\System), que se encuentra asociada a User Account Control",Manual,CU125_WinRegistry_UACPolicy_Access,NOVA,"user.dst, event.computer o device.host, device.ip",Producción,2025-03-07,2025-04-10,"T1012 - Query Registry, T1112 - Modify Registry, T1218 - System Binary Proxy Execution, T1547.001 - Registry Run Keys / Startup Folder, T1548 - Abuse Elevation Control Mechanism",,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PM - Platform Monitoring; D3-SCA - System Call Analysis; D3-SICA - System Init Config Analysis,High,IRT,,winevent_nic,,Si,,,"module CU125_WinRegistry_UACPolicy_Access;

@Name('CU125_WinRegistry_UACPolicy_Access')

@Description('Detecta el uso de cmd.exe para ejecutar reg.exe con acceso a la clave de políticas del sistema (HKLM\\...\\Policies\\System). Posible técnica de persistencia o evasión, asociada a MITRE ATT&CK T1112.')
@RSAAlert(oneInSeconds=0)

SELECT * FROM Event(
    device_type.toLowerCase() IN ( 'winevent_nic')
    AND reference_id = '4688'
    AND process.toLowerCase() IN ( 'c:\\windows\\system32\\cmd.exe' )
    AND matchRegex(param, '(?i).*hklm.*software.*microsoft.*windows.*currentversion.*policies.*system.*')
    
    
    
)",
CU126_AD_Critics_Users_logon_without_passwordsafe_request,AD,WINDOWS,P.Perimetral,Detecta inicios de sesión exitosos de cuentas criticas sin solicitud previa de contraseña en Password Safe,,CU126_AD_Critics_Users_logon_without_passwordsafe_request,ICBC,"Actores de interes user.role 'domain admins', ec.activity 'logon', ec.outcome 'success'",Producción,,2025-04-01,"T1078 - Valid Accounts, T1078.002 - Domain Accounts, T1556 - Modify Authentication Process, T1556.004 - Network Device Authentication",,D3-DAM - Domain Account Monitoring; D3-PLA - Process Lineage Analysis; D3-PSMD - Process Self-Modification Detection; D3-UBA - User Behavior Analysis,Critical,L2,,winevent_nic,,Si,,,"module CU126AD_Critics_Users_logon_without_passwordsafe_request;


@Name('CU126_AD_Critics_Users_logon_without_passwordsafe_request_alert')
@Description('Detecta inicios de sesión exitosos de cuentas críticas sin solicitud previa de contraseña en Password Safe. Asociado a MITRE ATT&CK: T1078, T1078.002, T1556, T1556.004')

@RSAAlert(oneInSeconds=600, identifiers={""user_dst"",""ip_src""})

SELECT * FROM Event(
    device_type.toLowerCase() = 'winevent_nic'
    AND reference_id = '4624'
    AND user_role IS NOT NULL
    AND user_role.toLowerCase() = 'domain admins'
    AND ec_activity.toLowerCase() = 'logon'
    AND ec_outcome.toLowerCase() = 'success'
    AND NOT (user_dst.toLowerCase() = 'gpoadm')
   AND ((ip_src IS NOT NULL) AND (ip_src NOT IN ( '10.214.141.202' , '10.214.133.13' )))
    AND NOT EXISTS (
        SELECT * FROM VentanaMemoriaPS
        WHERE VentanaMemoriaPS.eAccount.toLowerCase() = Event.user_dst.toLowerCase()
    )
)","Detectar inicios de sesión exitosos de cuentas críticas sin retiro previo de contraseña en Password Safe. Asociado a MITRE ATT&CK: T1078, T1078.002, T1556, T1556.004"
CU128_FW_Forbidden_Connections_From_DMZ,DMZ,DMZ,P.Interna,"Detecta conexiones aceptadas desde direcciones IP del rango DMZ (10.214.163.128/25) hacia puertos comúnmente asociados a administración remota o compartición de archivos (22, 3389, 445, etc.). Este tipo de actividad podría indicar movimientos laterales no autorizados o tareas de reconocimiento interno.",,CU128_FW_Forbidden_Connections_From_DMZ,ICBC,"Actores de interes ip.src.type 'ip_dmz', ip.dstport",Producción,,2025-03-28,"T1021 - Remote Services, T1046 - Network Service Discovery, T1071.001 - Web Protocols, T1133 - External Remote Services, T1189 - Drive-by Compromise, T1190 - Exploit Public-Facing Application",,D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,Critical,L2,,,,Si,,,"module CU128_FW_Forbidden_Connections_From_DMZ;

@Name('CU128_FW_Forbidden_Connections_From_DMZ_alert')
@Description('Detectar conexiones aceptadas desde el segmento DMZ (10.214.163.128/25) hacia puertos sensibles en la red interna, lo cual puede indicar actividades de reconocimiento o movimiento lateral no autorizado.')
@RSAAlert(oneInSeconds=300, identifiers={ ""ip_src""})

SELECT * FROM Event(
    (isOneOfIgnoreCase(netname,{ 'dmz-web-servers src' }))
    AND ip_dstport IN ( 22,3389,137,138,21,20 )
    AND (isNotOneOfIgnoreCase(action,{ 'drop' })) 


)","Detecta conexiones aceptadas desde el segmento DMZ (10.214.163.128/25) hacia puertos sensibles en la red interna, lo cual puede indicar actividades de reconocimiento o movimiento lateral no autorizado.
T1046 – Network Service Scanning
T1021 – Remote Services
T1071.001 – Application Layer Protocol: Web Protocols"
CU130_GPOADM_Abnormal_Host_Logon,AD,WINDOWS,P.Interna,Detecta inicios de sesión o intentos de la cuenta GPOADMIN en sistemas que no están dentro del conjunto autorizado. Este comportamiento puede indicar uso indebido o compromiso de una cuenta de alto privilegio.,Manual,CU130_GPOADM_Abnormal_Host_Logon,ICBC,Actor de interes user.dst 'gpoadm',Producción,2025-04-01,2025-05-27,T1078 - Valid Accounts,,,Critical,L2,,winevent_nic,,Si,,,"module GPOADMIN_logon_from_unauthorized_host;

@Name('CUXXX_GPOADMIN_logon_from_unauthorized_host_alert')

@Description('Detecta intentos de inicios de sesión exitosos de la cuenta GPOADMIN en sistemas que no están dentro del conjunto autorizado')

@RSAAlert(oneInSeconds=300, identifiers={ ""host_src""})

SELECT * FROM Event(
    device_type.toLowerCase() = 'winevent_nic'
    AND user_dst.toLowerCase() = 'gpoadm'
    AND ec_activity.toLowerCase() = 'logon'

    
    AND host_src IS NOT NULL
    AND isNotOneOfIgnoreCase(host_src,{ 'arpapp313','-' })
)",Detecta intentos de inicios de sesión exitosos de la cuenta GPOADMIN en sistemas que no están dentro del conjunto autorizado. Este comportamiento puede indicar uso indebido o compromiso de una cuenta de alto privilegio.
CU132_File_Hash_Reputation_Analysis,ENDPOINTS,ANTIVIRUS,P.Interna,Detecta la ejecución de archivos con hash malicioso o desconocido según reputación,,CU132_File_Hash_Reputation_Analysis,ICBC,Actor de interes checksum,Producción,2025-05-30,2025-06-25,T1204 - User Execution,,,Medium,IRT,,,,Si,,,"module CU132_File_Hash_Reputation_Analysis;

@Name('CU132_File_Hash_Reputation_Analysis_Alert')
@Description('Detecta la ejecución de archivos con hash malicioso o desconocido según reputación, asociado a posibles actividades de malware.')
@RSAAlert(oneInSeconds=3600, identifiers={ ""checksum"" })

SELECT * FROM Event(

    checksum IS NOT NULL
    AND
    ioc_type IS NOT NULL)
;","D3-FHRA: File Hash Reputation Analysis
Descripción: Esta técnica se enfoca en la evaluación de la reputación de un archivo mediante su hash (por ejemplo, MD5, SHA1 o SHA256). Es utilizada para identificar archivos que puedan estar involucrados en actividades maliciosas, basándose en fuentes de inteligencia de amenazas que etiquetan estos hashes como maliciosos, sospechosos o desconocidos."
CU133_EPO_Malware_Propagation_MultiHost,ENDPOINTS,ANTIVIRUS,P.Interna,"Detecta propagación de malware cuando el mismo archivo malicioso es detectado en múltiples hosts en menos de 30 minutos, sin haber sido contenido",,CU133_EPO_Malware_Propagation_MultiHost,icbc,"Actor de interes checksum, 3 eventos, 30 minutos",Producción,2025-05-27,2025-08-20,"T1027 - Obfuscated Files or Information, T1070.004 - File Deletion, T1105 - Ingress Tool Transfer, T1486 - Data Encrypted for Impact, T1569.002 - Service Execution, T1570 - Lateral Tool Transfer",,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FC - File Carving; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Critical,IRT,,,,Si,,,"module CU133_Malware_Propagation_MultiHost;

@Name('CU133_Malware_Propagation_MultiHost_Alert')
@Description('Detecta propagación de malware cuando el mismo archivo malicioso es detectado en múltiples hosts en menos de 30 minutos, sin haber sido contenido.')
@RSAAlert(oneInSeconds=0)

SELECT * FROM Event(
    device_type.toLowerCase() IN ('epolicy')
    AND severity_name.toLowerCase() IN ('high')
    AND threat_handled.toLowerCase() IN ('false')
    AND checksum IS NOT NULL

)
.std:groupwin(checksum)
.win:time_length_batch(30 minutes, 3)
GROUP BY checksum
HAVING count(distinct host_dst.firstOf()) > 2;","Detecta propagación de malware cuando el mismo archivo malicioso es detectado en múltiples hosts en menos de 30 minutos, sin haber sido contenido.
La agrupación y validación por checksum entraria de manera global dentro la tecnica defensiva System File Analysis (SFA),
de Mitre D3fend, dentro de la categoría Detect.

T1105 – Ingress Tool Transfer (transferencia del binario malicioso)

T1569.002 – Service Execution

T1027 – Obfuscated Files or Information

T1070.004 – File Deletion (si se complementa con eventos de borrado luego de la ejecución)"
CU134_Chroot_Command_Execution,S_OPERATIVOS,Linux,P.Interna,Finalidad: Alertar la ejecución del comando 'chroot' - CVE-2025-32463,,CU134_Chroot_Command_Execution,ICBC,"Actores de interes device.type, process",Producción,2025-07-17,2025-08-20,"T1059.004 - Unix Shell, T1202 - Indirect Command Execution",,,Critical,IRT,,,,Si,,,"module CU134_Chroot_Command_Execution;

@Name('CU134_Chroot_Command_Execution_Alert')
@Description('Detecta la ejecución del comando chroot en sistemas Unix/Linux o AIX, utilizado para cambiar la raíz del sistema de archivos. Puede indicar intentos de evasión, ocultamiento de artefactos o ejecución de comandos en entornos aislados. Mapeado a MITRE ATT&CK T1059.004 y T1202.')
@RSAAlert(oneInSeconds=1800, identifiers={""user_dst"",""alias_host""})

SELECT * FROM Event(
    (
        device_type.toLowerCase() = 'pbfiles'
        AND NOT (
            (isOneOfIgnoreCase(`group`,{ 'discover' }))
            AND (
                process.toLowerCase() LIKE '%chroot /opt/alation/alation%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation /opt/alation/usr/sbin/nginx -v%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation /opt/alation/env/bin/celery --version%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation /usr/bin/redis-server --version%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation /usr/pgsql-16/bin/pg_config --version%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation /usr/pgsql-16/bin/pg_config --version%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation /usr/pgsql-16/bin/pg_controldata /var/lib/pgsql/16/data%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation /usr/pgsql-16/bin/postgres --version%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation strings /usr/pgsql-16/bin/postgres%'
                OR
                process.toLowerCase() LIKE '%/usr/local/bin/pbrun discover chroot /opt/alation/alation /usr/sbin/nginx -v%'

            )
        )
        AND process.toLowerCase() LIKE '%chroot%'
    )

    OR

    (
        device_type.toLowerCase() IN ('rhlinux', 'aix')
        AND client.toLowerCase() = 'chroot'
        AND action IS NOT NULL
    )
)","Detecta la ejecución del comando chroot en sistemas Unix/Linux o AIX, utilizado para cambiar la raíz del sistema de archivos. Puede indicar intentos de evasión, ocultamiento de artefactos o ejecución de comandos en entornos aislados. 
Se alinea con la técnica Process Analysis D3-PA que se basa en el análisis de procesos.
Mapeado a MITRE ATT&CK T1059.004 y T1202."
CU135_Weblogic_exploit,N. DETECTION,NDR,P.Interna,Detectar posible intento de explotacion de Weblogic,,CU135_Weblogic_exploit,ICBC,,Producción,2025-09-30,2025-09-30,"T1059 - Command and Scripting Interpreter, T1059.004 - Unix Shell, T1105 - Ingress Tool Transfer, T1190 - Exploit Public-Facing Application",,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,Critical,L2,,,,Si,,,"module CUxxx_Weblogic_exploit;


@Name('[TEST]CUxxx_Weblogic_exploit_Alert')

@Description('Detectar posible intento de explotacion de Weblogic')
@RSAAlert(oneInSeconds=3600, identifiers={ ""ip_dst""})

SELECT * FROM Event(

    device_type.toLowerCase() IN ( 'ndricbc' ) 
    AND (isOneOfIgnoreCase(threat_desc,{ 'psft wsrp lfi ssrf' })
        OR isOneOfIgnoreCase(threat_category,{ 'psft wsrp lfi ssrf' })
    )
)",
