fila,identificador,decision,attack_anterior,attack_corregido,d3fend_anterior,d3fend_corregido,d3fend_excluido_anterior,d3fend_excluido_recalculado,d3fend_recomendado_no_inferido_por_catalogo,attack_deshabilitado_en_catalogo,motivo
57,CU128_FW_Forbidden_Connections_From_DMZ,AJUSTAR,"T1133 - External Remote Services, T1189 - Drive-by Compromise, T1190 - Exploit Public-Facing Application","T1021 - Remote Services, T1021.001 - Remote Desktop Protocol, T1046 - Network Service Discovery",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DQSA - Database Query String Analysis; D3-HD - Homoglyph Detection; D3-IAA - Identifier Activity Analysis; D3-ID - Identifier Analysis; D3-IRA - Identifier Reputation Analysis; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UA - URL Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis; D3-URA - URL Reputation Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-CAA - Connection Attempt Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-RTSD - Remote Terminal Session Detection,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PMAD - Protocol Metadata Anomaly Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ANAA - Administrative Network Activity Analysis,T1046,"Conexiones desde DMZ a puertos administrativos/sensibles; remote services y service discovery, no drive-by/public app exploit."
58,CU130_GPOADM_Abnormal_Host_Logon,AJUSTAR,T1078 - Valid Accounts,"T1078 - Valid Accounts, T1078.002 - Domain Accounts",,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,,D3-IAA - Identifier Activity Analysis,,GPOADMIN en host no autorizado: valid domain account.
59,CU132_File_Hash_Reputation_Analysis,AJUSTAR,T1204 - User Execution,T1204.002 - Malicious File,,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,D3-FA - File Analysis; D3-PA - Process Analysis,,Hash reputacion malicioso/desconocido en ejecucion; usar Malicious File especifico.
60,CU133_EPO_Malware_Propagation_MultiHost,AJUSTAR,"T1105 - Ingress Tool Transfer, T1486 - Data Encrypted for Impact, T1570 - Lateral Tool Transfer","T1105 - Ingress Tool Transfer, T1204.002 - Malicious File, T1570 - Lateral Tool Transfer",D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FC - File Carving; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis,,D3-APCA - Application Protocol Command Analysis; D3-CAA - Connection Attempt Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FC - File Carving; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-FA - File Analysis; D3-PA - Process Analysis,,Propagacion de malware multihost; lateral/ingress transfer y malicious file. T1486 solo si hay cifrado.
61,CU134_Chroot_Command_Execution,OK,T1059.004 - Unix Shell,T1059.004 - Unix Shell,,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,,,D3-OPM - Operational Process Monitoring; D3-PA - Process Analysis; D3-PLA - Process Lineage Analysis,T1059.004,Ejecucion chroot en Unix/Linux; shell Unix.
62,CU135_Weblogic_exploit,OK,"T1059 - Command and Scripting Interpreter, T1059.004 - Unix Shell, T1105 - Ingress Tool Transfer, T1190 - Exploit Public-Facing Application","T1059 - Command and Scripting Interpreter, T1059.004 - Unix Shell, T1105 - Ingress Tool Transfer, T1190 - Exploit Public-Facing Application",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PA - Process Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-CSPP - Client-server Payload Profiling; D3-DA - Dynamic Analysis; D3-DQSA - Database Query String Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-PA - Process Analysis,T1059.004,Weblogic exploit con comandos/transferencia; mapping razonable.
63,CU136_NDR_single_source_multiple_destination,OK,"T1018 - Remote System Discovery, T1046 - Network Service Discovery, T1595 - Active Scanning, T1595.001 - Scanning IP Blocks","T1018 - Remote System Discovery, T1046 - Network Service Discovery, T1595 - Active Scanning, T1595.001 - Scanning IP Blocks",D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-OSM - Operating System Monitoring; D3-PA - Process Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-PSA - Process Spawn Analysis; D3-RTSD - Remote Terminal Session Detection; D3-SBV - Service Binary Verification; D3-SCA - System Call Analysis; D3-SFA - System File Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-RTSD - Remote Terminal Session Detection; D3-SBV - Service Binary Verification; D3-SCA - System Call Analysis; D3-SFA - System File Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-CAA - Connection Attempt Analysis,"T1046, T1595, T1595.001",Un origen a multiples destinos: discovery/scan interno.
64,CU140_NDR_multiple_source_to_single_destination,AJUSTAR,T1595 - Active Scanning,"T1499.002 - Service Exhaustion Flood, T1595 - Active Scanning",,D3-ISVA - Inbound Session Volume Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,,T1595,Multiples origenes a unico destino: puede ser scan distribuido o DoS; agregar impacto DoS.
65,CU141_NDR_Critical_Severity_Events_Detected,REVISAR,T1046 - Network Service Discovery,T1046 - Network Service Discovery,,D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,,D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,T1046,NDR critical severity sin detalle de amenaza; T1046 solo si la alerta critical corresponde a scan/discovery.
66,CU142_NDR_detection_in_DCs,AJUSTAR,T1548.002 - Bypass User Account Control,"T1018 - Remote System Discovery, T1046 - Network Service Discovery",D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-PSA - Process Spawn Analysis; D3-SCA - System Call Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-CAA - Connection Attempt Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,D3-APCA - Application Protocol Command Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-OSM - Operating System Monitoring; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-RTSD - Remote Terminal Session Detection; D3-SBV - Service Binary Verification; D3-SCA - System Call Analysis; D3-SFA - System File Analysis; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-ANAA - Administrative Network Activity Analysis; D3-CAA - Connection Attempt Analysis,T1046,Actividad NDR no-DNS en DCs; T1548.002 UAC no se sustenta. Discovery/scan es mejor si la regla mira red.
67,CU143_NDR_StransIPv4Connections_withIOCs,AJUSTAR,T1071 - Application Layer Protocol,"T1071 - Application Layer Protocol, T1071.001 - Web Protocols",D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-NTSA - Network Traffic Signature Analysis; D3-URA - URL Reputation Analysis,,D3-ACA - Active Certificate Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-URA - URL Reputation Analysis,,Conexiones stransipv4 con IOC; application/web protocol con reputacion.
68,CU144_AV_Alert_SeverityHigh_ByLocalUserAdministrator,REVISAR,T1685 - Disable or Modify Tools,"T1204.002 - Malicious File, T1562.001 - Disable or Modify Tools",,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PLA - Process Lineage Analysis; D3-PM - Platform Monitoring; D3-PSMD - Process Self-Modification Detection; D3-SDM - System Daemon Monitoring,D3-FA - File Analysis; D3-PA - Process Analysis,,"AV high severity por admin local; puede ser malicious file o defense impairment, pero requiere detalle del evento."
69,CU145_EDR_Alert_S4_ByLocalUserAdministrator,AJUSTAR,T1204.002 - Malicious File,"T1204.002 - Malicious File, T1562.001 - Disable or Modify Tools",D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PM - Platform Monitoring,D3-FA - File Analysis; D3-FH - File Hashing; D3-PA - Process Analysis,,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FIM - File Integrity Monitoring; D3-OSM - Operating System Monitoring; D3-PLA - Process Lineage Analysis; D3-PM - Platform Monitoring; D3-PSMD - Process Self-Modification Detection; D3-SDM - System Daemon Monitoring,D3-FA - File Analysis; D3-PA - Process Analysis,,EDR S4 por admin local; malicious file y posible impairment segun descripcion.
70,CU146_Proxy_WebActivity_UserGenerics_IOC,OK,"T1071 - Application Layer Protocol, T1071.001 - Web Protocols, T1078 - Valid Accounts","T1071 - Application Layer Protocol, T1071.001 - Web Protocols, T1078 - Valid Accounts",D3-ACA - Active Certificate Analysis; D3-APCA - Application Protocol Command Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTA - Network Traffic Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-APCA - Application Protocol Command Analysis; D3-IAA - Identifier Activity Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,,D3-ACA - Active Certificate Analysis; D3-CA - Certificate Analysis; D3-CSPP - Client-server Payload Profiling; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PCA - Passive Certificate Analysis; D3-PHDURA - Per Host Download-Upload Ratio Analysis; D3-PM - Platform Monitoring; D3-PMAD - Protocol Metadata Anomaly Detection; D3-RPA - Relay Pattern Analysis; D3-RTSD - Remote Terminal Session Detection; D3-UBA - User Behavior Analysis; D3-UGLPA - User Geolocation Logon Pattern Analysis,D3-IAA - Identifier Activity Analysis; D3-UA - URL Analysis; D3-URA - URL Reputation Analysis,,Cuenta generica navegando a IOC por proxy; web protocol y valid account.
71,CU147_AD_User_Enumeration,AJUSTAR,"T1087 - Account Discovery, T1087.002 - Domain Account",T1087.002 - Domain Account,D3-DAM - Domain Account Monitoring; D3-UBA - User Behavior Analysis,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,,D3-IAA - Identifier Activity Analysis,,Enumeracion de usuarios AD por 4625/0xC0000064; usar subtecnica Domain Account.
72,CU148_IAM_OU_PROD_Abnormal_Host_Logon,AJUSTAR,T1078 - Valid Accounts,"T1078 - Valid Accounts, T1078.002 - Domain Accounts",,D3-DAM - Domain Account Monitoring; D3-IAA - Identifier Activity Analysis; D3-UBA - User Behavior Analysis,,,D3-IAA - Identifier Activity Analysis,,Cuenta iam_ou_prod en host no autorizado; valid domain account.
73,CU149_NDR_port_scan,AJUSTAR,T1046 - Network Service Discovery,"T1046 - Network Service Discovery, T1595 - Active Scanning",,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,,D3-CAA - Connection Attempt Analysis; D3-NTCD - Network Traffic Community Deviation; D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,"T1046, T1595",NDR port scan interno; agregar Active Scanning.
74,CU150_Tenable_Alert,REVISAR,T1548.002 - Bypass User Account Control,T1595.002 - Vulnerability Scanning,D3-DA - Dynamic Analysis; D3-EFA - Emulated File Analysis; D3-FA - File Analysis; D3-FCOA - File Content Analysis; D3-FCR - File Content Rules; D3-FH - File Hashing; D3-FIM - File Integrity Monitoring; D3-PA - Process Analysis; D3-PM - Platform Monitoring; D3-PSA - Process Spawn Analysis; D3-SCA - System Call Analysis,D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,,,D3-NTSA - Network Traffic Signature Analysis; D3-PMAD - Protocol Metadata Anomaly Detection,T1595.002,"Tenable alert no password guessing es hallazgo de vulnerabilidad/scan; T1548.002 no aplica, pero falta tipo exacto de alerta."
